"Timestamp","I found it easy to download data from: [Collaborative Research in Computational Neuroscience]","I found it easy to download data from: [Datalad]","I found it easy to download data from: [Dataverse ]","I found it easy to download data from: [dbGap]","I found it easy to download data from: [Dryad]","I found it easy to download data from: [Figshare]","I found it easy to download data from: [Github]","I found it easy to download data from: [INDI]","I found it easy to download data from: [NDA/NDAR (NIMH Data Archive)]","I found it easy to download data from: [NITRC]","I found it easy to download data from: [OMEGA]","I found it easy to download data from: [OpenNeuro]","I found it easy to download data from: [(OSF.io) Open Science Framework ]","I found it easy to download data from: [XNAT Central]","I found it easy to download data from: [Zenodo]","Are there any other repositories not on this list that you use to download or share data? Please list them and indicate how positively you feel toward them","I found it easy to upload data to: [Collaborative Research in Computational Neuroscience]","I found it easy to upload data to: [Datalad]","I found it easy to upload data to: [Dataverse]","I found it easy to upload data to: [dbGap]","I found it easy to upload data to: [Dryad]","I found it easy to upload data to: [Figshare]","I found it easy to upload data to: [Github]","I found it easy to upload data to: [INDI]","I found it easy to upload data to: [NDAR/NDA (NIMH Data Archive)]","I found it easy to upload data to: [NITRC]","I found it easy to upload data to: [OMEGA]","I found it easy to upload data to: [OpenNeuro]","I found it easy to upload data to: [OSF.io (Open Science Framework)]","I found it easy to upload data to: [XNAT Central]","I found it easy to upload data to: [Zenodo]","Are there any other repositories not on this list that you use to upload data? Please list them and indicate how positively you feel toward them."
"2019/06/11 8:54:40 AM AST","Never Used","","Never Used","Disagree","Never Used","Never Used","Strongly Agree","","Neutral","Strongly Agree","","Strongly Agree","Strongly Agree","","Never Used","","Never used","","Never used","Never used","Never used","Never used","Strongly Agree","","Disagree","Agree","","Strongly Agree","Agree","","Never used",""
"2019/06/11 9:04:54 AM AST","Never Used","","Never Used","Never Used","Never Used","Neutral","Agree","","Never Used","Agree","","Strongly Disagree","Never Used","","Never Used","","Never used","","Never used","Never used","Never used","Neutral","Agree","","Never used","Never used","","Disagree","Never used","","Never used",""
"2019/06/11 10:05:08 AM AST","Never Used","","Never Used","Never Used","Never Used","Agree","Agree","","Neutral","Agree","","Agree","Agree","","Never Used","","Never used","","Never used","Never used","Never used","Never used","Agree","","Never used","Agree","","Never used","Never used","","Never used","central.xnat.org: Download->agree Upload->Disagree"
"2019/06/11 11:27:01 AM AST","Never Used","Never Used","Never Used","Never Used","Never Used","Agree","Agree","","Never Used","Neutral","","Disagree","Never Used","","Never Used","The Open MEG archives (OMEGA)","Never used","Never used","Never used","Never used","Never used","Never used","Neutral","","Never used","Never used","","Disagree","Never used","","Never used",""
"2019/06/11 12:12:37 PM AST","Never Used","Disagree","Never Used","Never Used","Never Used","Agree","Strongly Agree","","Never Used","Disagree","","Strongly Agree","Agree","Strongly Disagree","Never Used","F1000 AWS buckets, very easy to use, unfortunately not always up to date or the most curated version. In general, anything that allows for simple queries and let's me download raw data in an automated way is great.","Never used","Never used","Never used","Never used","Never used","Strongly Agree","Strongly Agree","","Never used","Never used","","Never used","Strongly Agree","Never used","Never used",""
"2019/06/11 2:44:48 PM AST","Never Used","Never Used","Never Used","Never Used","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Never Used","Never Used","Never Used","Never Used","Strongly Agree","Never Used","Never Used","","Never used","Never used","Never used","Never used","Never used","Agree","Agree","","Never used","Never used","Never used","Never used","Strongly Agree","Never used","Never used",""
"2019/06/11 6:08:56 PM AST","Never Used","Never Used","Never Used","Strongly Disagree","Never Used","Never Used","Never Used","","Agree","Never Used","Never Used","Never Used","Strongly Agree","Never Used","Strongly Agree","","Never used","Never used","Never used","Never used","Never used","Never used","Never used","","Never used","Never used","Never used","Never used","Disagree","Never used","Disagree",""
"2019/06/12 12:11:53 AM AST","Never Used","Never Used","Never Used","Disagree","Never Used","Never Used","Neutral","","Disagree","Strongly Agree","Never Used","Never Used","Agree","Strongly Agree","Never Used","ConnectomeDB, Strongly Agree; AWS Public Datasets, Agree","Never used","Never used","Never used","Strongly Disagree","Never used","Never used","Agree","","Disagree","Strongly Agree","Never used","Never used","Never used","Agree","Never used",""
"2019/06/12 4:21:27 AM AST","Never Used","Agree","Never Used","Never Used","Never Used","Never Used","Agree","","Never Used","Never Used","Never Used","Strongly Agree","Agree","Disagree","Neutral","","Never used","Neutral","Never used","Never used","Never used","Neutral","Strongly Agree","","Never used","Never used","Never used","Never used","Neutral","Disagree","Neutral",""
"2019/06/12 9:11:37 AM AST","Never Used","Never Used","Never Used","Disagree","Never Used","Strongly Agree","Strongly Agree","","Strongly Disagree","Agree","Never Used","Strongly Agree","Never Used","Disagree","Never Used","","Never used","Never used","Never used","Never used","Never used","Never used","Agree","","Never used","Disagree","Never used","Never used","Agree","Never used","Never used",""
